,links
9556,https://www.swiggy.com/bangalore/the-kream-story-koramangala-7th-block-koramangala
9557,https://www.swiggy.com/bangalore/stoner-koramangala
9558,https://www.swiggy.com/bangalore/hotel-crown-fish-land-koramangala-5th-block-koramangala
9559,https://www.swiggy.com/bangalore/autoexpress-hotdogs-koramangala-koramangala
9560,https://www.swiggy.com/bangalore/the-bowl-company-jakkasandra-village-koramangala
9561,https://www.swiggy.com/bangalore/karahi-kitchen-kormangala-koramangala
9562,https://www.swiggy.com/bangalore/smokey-tribe-restaurant-koramangala-7th-block-koramangala
9563,https://www.swiggy.com/bangalore/little-kolkata-koramangala-koramangala
9564,https://www.swiggy.com/bangalore/sri-udupi-park-koramangala
9565,https://www.swiggy.com/bangalore/nothing-but-chicken-koramangala
9566,https://www.swiggy.com/bangalore/stoked-koramangala-4th-block-koramangala
9567,https://www.swiggy.com/bangalore/malabar-xpress-koramangala
9568,https://www.swiggy.com/bangalore/hotel-savitha-family-restaurant-4th-block-koramangala
9569,https://www.swiggy.com/bangalore/chai-point-7th-main-road-koramangala
9570,https://www.swiggy.com/bangalore/dalma-koramangala-6th-block-koramangala
9571,https://www.swiggy.com/bangalore/the-black-deer-khb-colony-koramangala-koramangala
9572,https://www.swiggy.com/bangalore/yogisthaan-koramangala-koramangala
9573,https://www.swiggy.com/bangalore/gams-delicacy-koramangala
9574,https://www.swiggy.com/bangalore/paratha-hut-koramangala
9575,https://www.swiggy.com/bangalore/on-the-nose-koramangala-koramangala
9576,https://www.swiggy.com/bangalore/litti-express-koramangala
9577,https://www.swiggy.com/bangalore/assi-tussi-lassi-koramangala
9578,https://www.swiggy.com/bangalore/ocean-club-road-koramangala
9579,https://www.swiggy.com/bangalore/icebreakers-koramangala-6th-block-koramangala
9580,https://www.swiggy.com/bangalore/punjab-grill-7th-block-koramangala
9581,https://www.swiggy.com/bangalore/cake-box-koramangala-koramangala
9582,https://www.swiggy.com/bangalore/the-skinz-bengaluru-karnataka-india-btm
9583,https://www.swiggy.com/bangalore/foody39s-land-restaurant-koramangala
9584,https://www.swiggy.com/bangalore/embers-nandhana-grand-hotel-koramangala-koramangala
9585,https://www.swiggy.com/bangalore/subway-koramangala
9586,https://www.swiggy.com/bangalore/helloo-delhi-koramangala-4th-block-koramangala
